service_date,mode,route_or_line,total_monthly_ridership,countofdates,average_monthly_ridership
2018-10-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2800712,23,121770.1
2018-10-01T04:00:00.000Z,Ferry,Boat-F1,82206,23,3574.2
2018-10-01T04:00:00.000Z,Ferry,Boat-F4,51288,23,2229.9
2018-10-01T04:00:00.000Z,Rail,Blue Line,1748476,23,76020.7
2018-10-01T04:00:00.000Z,Rail,Green Line,4349667,23,189116
2018-10-01T04:00:00.000Z,Rail,Orange Line,4980608,23,216548.2
2018-10-01T04:00:00.000Z,Rail,Red Line,5955310,23,258926.5
2018-10-01T04:00:00.000Z,The RIDE,The RIDE,144156,23,6267.7
2018-11-01T04:00:00.000Z,Bus,Bus,7395071,21,352146.3
2018-11-01T04:00:00.000Z,Bus,Silver Line,798509,21,38024.3
2018-11-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2547322,21,121301
2018-11-01T04:00:00.000Z,Ferry,Boat-F1,68740,21,3273.3
2018-11-01T04:00:00.000Z,Ferry,Boat-F4,35079,21,1670.4
2018-11-01T04:00:00.000Z,Rail,Blue Line,1481110,21,70529.1
2018-11-01T04:00:00.000Z,Rail,Green Line,3616694,21,172223.5
2018-11-01T04:00:00.000Z,Rail,Orange Line,4269986,21,203332.7
2018-11-01T04:00:00.000Z,Rail,Red Line,5079375,21,241875
2018-11-01T04:00:00.000Z,The RIDE,The RIDE,126859,21,6040.9
2018-12-01T05:00:00.000Z,Bus,Bus,6422324,20,321116.2
2018-12-01T05:00:00.000Z,Bus,Silver Line,659334,20,32966.7
2018-12-01T05:00:00.000Z,Commuter Rail,Commuter Rail,2424940,20,121247
2018-12-01T05:00:00.000Z,Ferry,Boat-F1,56588,20,2829.4
2018-12-01T05:00:00.000Z,Ferry,Boat-F4,30180,20,1509
2018-12-01T05:00:00.000Z,Rail,Blue Line,1291519,20,64576
2018-12-01T05:00:00.000Z,Rail,Green Line,3042631,20,152131.5
2018-12-01T05:00:00.000Z,Rail,Orange Line,3630254,20,181512.7
2018-12-01T05:00:00.000Z,Rail,Red Line,4270301,20,213515.1
2018-12-01T05:00:00.000Z,The RIDE,The RIDE,118195,20,5909.8
2019-01-01T05:00:00.000Z,Bus,Bus,7103166,21,338246
2019-01-01T05:00:00.000Z,Bus,Silver Line,728626,21,34696.5
2019-01-01T05:00:00.000Z,Commuter Rail,Commuter Rail,2540240,21,120963.8
2019-01-01T05:00:00.000Z,Ferry,Boat-F1,69315,22,3150.7
2019-01-01T05:00:00.000Z,Ferry,Boat-F4,30916,22,1405.3
2019-01-01T05:00:00.000Z,Rail,Blue Line,1390803,21,66228.7
2019-01-01T05:00:00.000Z,Rail,Green Line,3322102,21,158195.4
2019-01-01T05:00:00.000Z,Rail,Orange Line,4049901,21,192852.4
2019-01-01T05:00:00.000Z,Rail,Red Line,4775951,21,227426.2
2019-01-01T05:00:00.000Z,The RIDE,The RIDE,127133,21,6054
2019-02-01T05:00:00.000Z,Bus,Bus,6542399,19,344336.8
2019-02-01T05:00:00.000Z,Bus,Silver Line,655079,19,34477.8
2019-02-01T05:00:00.000Z,Commuter Rail,Commuter Rail,2315272,19,121856.4
2019-02-01T05:00:00.000Z,Ferry,Boat-F1,61773,20,3088.7
2019-02-01T05:00:00.000Z,Ferry,Boat-F4,30523,20,1526.2
2019-02-01T05:00:00.000Z,Rail,Blue Line,1291124,19,67953.9
2019-02-01T05:00:00.000Z,Rail,Green Line,3204597,19,168663
2019-02-01T05:00:00.000Z,Rail,Orange Line,3779937,19,198944.1
2019-02-01T05:00:00.000Z,Rail,Red Line,4570488,19,240552
2019-02-01T05:00:00.000Z,The RIDE,The RIDE,113706,19,5984.5
2019-03-01T05:00:00.000Z,Bus,Bus,7357430,21,350353.8
2019-03-01T05:00:00.000Z,Bus,Silver Line,786680,21,37461
2019-03-01T05:00:00.000Z,Commuter Rail,Commuter Rail,2552939,21,121568.5
2019-03-01T05:00:00.000Z,Ferry,Boat-F1,66093,21,3147.3
2019-03-01T05:00:00.000Z,Ferry,Boat-F4,33359,21,1588.5
2019-03-01T05:00:00.000Z,Rail,Blue Line,1435380,21,68351.4
2019-03-01T05:00:00.000Z,Rail,Green Line,3479327,21,165682.3
2019-03-01T05:00:00.000Z,Rail,Orange Line,4182580,21,199170.5
2019-03-01T05:00:00.000Z,Rail,Red Line,5018393,21,238971.1
2019-03-01T05:00:00.000Z,The RIDE,The RIDE,127203,21,6057.3
2019-04-01T04:00:00.000Z,Bus,Bus,7689901,22,349540.9
2019-04-01T04:00:00.000Z,Bus,Silver Line,823061,22,37411.9
2019-04-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2651110,22,120505
2019-04-01T04:00:00.000Z,Ferry,Boat-F1,71300,22,3240.9
2019-04-01T04:00:00.000Z,Ferry,Boat-F4,41730,22,1896.8
2019-04-01T04:00:00.000Z,Rail,Blue Line,1599512,22,72705.1
2019-04-01T04:00:00.000Z,Rail,Green Line,3819945,22,173633.9
2019-04-01T04:00:00.000Z,Rail,Orange Line,4527379,22,205790
2019-04-01T04:00:00.000Z,Rail,Red Line,5391799,22,245081.8
2019-04-01T04:00:00.000Z,The RIDE,The RIDE,133432,22,6065.1
2019-05-01T04:00:00.000Z,Bus,Bus,7884809,22,358400.4
2019-05-01T04:00:00.000Z,Bus,Silver Line,850391,22,38654.1
2019-05-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2536088,22,115276.7
2019-05-01T04:00:00.000Z,Ferry,Boat-F1,75512,22,3432.4
