date,value,mode
2018-02-01T05:00:00.000Z,120498,Commuter Rail
2018-02-01T05:00:00.000Z,346293,Bus (Bus)
2018-02-01T05:00:00.000Z,31508,Bus (Silver Line)
2018-02-01T05:00:00.000Z,6563,The RIDE
2018-02-01T05:00:00.000Z,242837,Rail (Red)
2018-02-01T05:00:00.000Z,168150,Rail (Green)
2018-02-01T05:00:00.000Z,69542,Rail (Blue)
2018-02-01T05:00:00.000Z,207264,Rail (Orange)
2018-02-01T05:00:00.000Z,2854,Ferry (Boat-F1)
2018-03-01T05:00:00.000Z,116214,Commuter Rail
2018-03-01T05:00:00.000Z,325583,Bus (Bus)
2018-03-01T05:00:00.000Z,31306,Bus (Silver Line)
2018-03-01T05:00:00.000Z,5830,The RIDE
2018-03-01T05:00:00.000Z,227884,Rail (Red)
2018-03-01T05:00:00.000Z,154557,Rail (Green)
2018-03-01T05:00:00.000Z,65413,Rail (Blue)
2018-03-01T05:00:00.000Z,191833,Rail (Orange)
2018-03-01T05:00:00.000Z,2677,Ferry (Boat-F1)
2018-04-01T04:00:00.000Z,120507,Commuter Rail
2018-04-01T04:00:00.000Z,343309,Bus (Bus)
2018-04-01T04:00:00.000Z,35484,Bus (Silver Line)
2018-04-01T04:00:00.000Z,6607,The RIDE
2018-04-01T04:00:00.000Z,253140,Rail (Red)
2018-04-01T04:00:00.000Z,176925,Rail (Green)
2018-04-01T04:00:00.000Z,73725,Rail (Blue)
2018-04-01T04:00:00.000Z,212527,Rail (Orange)
2018-04-01T04:00:00.000Z,3013,Ferry (Boat-F1)
2018-05-01T04:00:00.000Z,121933,Commuter Rail
2018-05-01T04:00:00.000Z,357394,Bus (Bus)
2018-05-01T04:00:00.000Z,37150,Bus (Silver Line)
2018-05-01T04:00:00.000Z,6678,The RIDE
2018-05-01T04:00:00.000Z,257043,Rail (Red)
2018-05-01T04:00:00.000Z,170223,Rail (Green)
2018-05-01T04:00:00.000Z,77107,Rail (Blue)
2018-05-01T04:00:00.000Z,214680,Rail (Orange)
2018-05-01T04:00:00.000Z,3409,Ferry (Boat-F1)
2018-06-01T04:00:00.000Z,122911,Commuter Rail
2018-06-01T04:00:00.000Z,346410,Bus (Bus)
2018-06-01T04:00:00.000Z,37376,Bus (Silver Line)
2018-06-01T04:00:00.000Z,6507,The RIDE
2018-06-01T04:00:00.000Z,255260,Rail (Red)
2018-06-01T04:00:00.000Z,169237,Rail (Green)
2018-06-01T04:00:00.000Z,78196,Rail (Blue)
2018-06-01T04:00:00.000Z,213177,Rail (Orange)
2018-06-01T04:00:00.000Z,3627,Ferry (Boat-F1)
2018-07-01T04:00:00.000Z,120976,Commuter Rail
2018-07-01T04:00:00.000Z,336076,Bus (Bus)
2018-07-01T04:00:00.000Z,37585,Bus (Silver Line)
2018-07-01T04:00:00.000Z,6168,The RIDE
2018-07-01T04:00:00.000Z,243385,Rail (Red)
2018-07-01T04:00:00.000Z,171156,Rail (Green)
2018-07-01T04:00:00.000Z,75613,Rail (Blue)
2018-07-01T04:00:00.000Z,200126,Rail (Orange)
2018-07-01T04:00:00.000Z,3734,Ferry (Boat-F1)
2018-08-01T04:00:00.000Z,120920,Commuter Rail
2018-08-01T04:00:00.000Z,334528,Bus (Bus)
2018-08-01T04:00:00.000Z,37371,Bus (Silver Line)
2018-08-01T04:00:00.000Z,6120,The RIDE
2018-08-01T04:00:00.000Z,235268,Rail (Red)
2018-08-01T04:00:00.000Z,161172,Rail (Green)
2018-08-01T04:00:00.000Z,71985,Rail (Blue)
2018-08-01T04:00:00.000Z,193508,Rail (Orange)
2018-08-01T04:00:00.000Z,3618,Ferry (Boat-F1)
2018-09-01T04:00:00.000Z,120853,Commuter Rail
2018-09-01T04:00:00.000Z,371768,Bus (Bus)
2018-09-01T04:00:00.000Z,37043,Bus (Silver Line)
2018-09-01T04:00:00.000Z,6304,The RIDE
2018-09-01T04:00:00.000Z,255740,Rail (Red)
2018-09-01T04:00:00.000Z,187452,Rail (Green)
2018-09-01T04:00:00.000Z,75471,Rail (Blue)
2018-09-01T04:00:00.000Z,212814,Rail (Orange)
2018-09-01T04:00:00.000Z,3618,Ferry (Boat-F1)
2018-10-01T04:00:00.000Z,121770,Commuter Rail
2018-10-01T04:00:00.000Z,371970,Bus (Bus)
2018-10-01T04:00:00.000Z,38258,Bus (Silver Line)
2018-10-01T04:00:00.000Z,6268,The RIDE
2018-10-01T04:00:00.000Z,258927,Rail (Red)
2018-10-01T04:00:00.000Z,189116,Rail (Green)
2018-10-01T04:00:00.000Z,76021,Rail (Blue)
2018-10-01T04:00:00.000Z,216548,Rail (Orange)
2018-10-01T04:00:00.000Z,3574,Ferry (Boat-F1)
2018-11-01T04:00:00.000Z,121301,Commuter Rail
2018-11-01T04:00:00.000Z,352146,Bus (Bus)
2018-11-01T04:00:00.000Z,38024,Bus (Silver Line)
2018-11-01T04:00:00.000Z,6041,The RIDE
2018-11-01T04:00:00.000Z,241875,Rail (Red)
2018-11-01T04:00:00.000Z,172224,Rail (Green)
2018-11-01T04:00:00.000Z,70529,Rail (Blue)
2018-11-01T04:00:00.000Z,203333,Rail (Orange)
2018-11-01T04:00:00.000Z,3273,Ferry (Boat-F1)
2018-12-01T05:00:00.000Z,121247,Commuter Rail
2018-12-01T05:00:00.000Z,321116,Bus (Bus)
2018-12-01T05:00:00.000Z,32967,Bus (Silver Line)
2018-12-01T05:00:00.000Z,5910,The RIDE
2018-12-01T05:00:00.000Z,213515,Rail (Red)
2018-12-01T05:00:00.000Z,152132,Rail (Green)
2018-12-01T05:00:00.000Z,64576,Rail (Blue)
2018-12-01T05:00:00.000Z,181513,Rail (Orange)
2018-12-01T05:00:00.000Z,2829,Ferry (Boat-F1)
2019-01-01T05:00:00.000Z,120964,Commuter Rail
2019-01-01T05:00:00.000Z,338246,Bus (Bus)
2019-01-01T05:00:00.000Z,34697,Bus (Silver Line)
2019-01-01T05:00:00.000Z,6054,The RIDE
2019-01-01T05:00:00.000Z,227426,Rail (Red)
2019-01-01T05:00:00.000Z,158195,Rail (Green)
2019-01-01T05:00:00.000Z,66229,Rail (Blue)
2019-01-01T05:00:00.000Z,192852,Rail (Orange)
2019-01-01T05:00:00.000Z,3151,Ferry (Boat-F1)
2019-02-01T05:00:00.000Z,121856,Commuter Rail
2019-02-01T05:00:00.000Z,344337,Bus (Bus)
2019-02-01T05:00:00.000Z,34478,Bus (Silver Line)
2019-02-01T05:00:00.000Z,5985,The RIDE
2019-02-01T05:00:00.000Z,240552,Rail (Red)
2019-02-01T05:00:00.000Z,168663,Rail (Green)
2019-02-01T05:00:00.000Z,67954,Rail (Blue)
2019-02-01T05:00:00.000Z,198944,Rail (Orange)
2019-02-01T05:00:00.000Z,3089,Ferry (Boat-F1)
2019-03-01T05:00:00.000Z,121569,Commuter Rail
2019-03-01T05:00:00.000Z,350354,Bus (Bus)
2019-03-01T05:00:00.000Z,37461,Bus (Silver Line)
2019-03-01T05:00:00.000Z,6057,The RIDE
2019-03-01T05:00:00.000Z,238971,Rail (Red)
2019-03-01T05:00:00.000Z,165682,Rail (Green)
2019-03-01T05:00:00.000Z,68351,Rail (Blue)
2019-03-01T05:00:00.000Z,199171,Rail (Orange)
2019-03-01T05:00:00.000Z,3147,Ferry (Boat-F1)
2019-04-01T04:00:00.000Z,120505,Commuter Rail
2019-04-01T04:00:00.000Z,349541,Bus (Bus)
2019-04-01T04:00:00.000Z,37412,Bus (Silver Line)
2019-04-01T04:00:00.000Z,6065,The RIDE
2019-04-01T04:00:00.000Z,245082,Rail (Red)
2019-04-01T04:00:00.000Z,173634,Rail (Green)
2019-04-01T04:00:00.000Z,72705,Rail (Blue)
2019-04-01T04:00:00.000Z,205790,Rail (Orange)
2019-04-01T04:00:00.000Z,3241,Ferry (Boat-F1)
2019-05-01T04:00:00.000Z,115277,Commuter Rail
2019-05-01T04:00:00.000Z,358400,Bus (Bus)
2019-05-01T04:00:00.000Z,38654,Bus (Silver Line)
2019-05-01T04:00:00.000Z,6209,The RIDE
2019-05-01T04:00:00.000Z,246479,Rail (Red)
2019-05-01T04:00:00.000Z,164762,Rail (Green)
2019-05-01T04:00:00.000Z,74150,Rail (Blue)
2019-05-01T04:00:00.000Z,207374,Rail (Orange)
2019-05-01T04:00:00.000Z,3432,Ferry (Boat-F1)
2019-06-01T04:00:00.000Z,121471,Commuter Rail
2019-06-01T04:00:00.000Z,348514,Bus (Bus)
2019-06-01T04:00:00.000Z,38281,Bus (Silver Line)
2019-06-01T04:00:00.000Z,6072,The RIDE
2019-06-01T04:00:00.000Z,237862,Rail (Red)
2019-06-01T04:00:00.000Z,165275,Rail (Green)
2019-06-01T04:00:00.000Z,77068,Rail (Blue)
2019-06-01T04:00:00.000Z,208337,Rail (Orange)
2019-06-01T04:00:00.000Z,4143,Ferry (Boat-F1)
2019-07-01T04:00:00.000Z,119130,Commuter Rail
2019-07-01T04:00:00.000Z,338220,Bus (Bus)
2019-07-01T04:00:00.000Z,37509,Bus (Silver Line)
2019-07-01T04:00:00.000Z,5780,The RIDE
2019-07-01T04:00:00.000Z,228236,Rail (Red)
2019-07-01T04:00:00.000Z,156253,Rail (Green)
2019-07-01T04:00:00.000Z,75048,Rail (Blue)
2019-07-01T04:00:00.000Z,197854,Rail (Orange)
2019-07-01T04:00:00.000Z,4188,Ferry (Boat-F1)
2019-08-01T04:00:00.000Z,120281,Commuter Rail
2019-08-01T04:00:00.000Z,333577,Bus (Bus)
2019-08-01T04:00:00.000Z,37446,Bus (Silver Line)
2019-08-01T04:00:00.000Z,5741,The RIDE
2019-08-01T04:00:00.000Z,221823,Rail (Red)
2019-08-01T04:00:00.000Z,146951,Rail (Green)
2019-08-01T04:00:00.000Z,73462,Rail (Blue)
2019-08-01T04:00:00.000Z,192688,Rail (Orange)
2019-08-01T04:00:00.000Z,4087,Ferry (Boat-F1)
2019-09-01T04:00:00.000Z,120824,Commuter Rail
2019-09-01T04:00:00.000Z,373971,Bus (Bus)
2019-09-01T04:00:00.000Z,36944,Bus (Silver Line)
2019-09-01T04:00:00.000Z,6060,The RIDE
2019-09-01T04:00:00.000Z,245788,Rail (Red)
2019-09-01T04:00:00.000Z,158952,Rail (Green)
2019-09-01T04:00:00.000Z,76423,Rail (Blue)
2019-09-01T04:00:00.000Z,215557,Rail (Orange)
2019-09-01T04:00:00.000Z,4183,Ferry (Boat-F1)
2019-10-01T00:00:00.000Z,121404,Commuter Rail
2019-10-01T00:00:00.000Z,379904,Bus (Bus)
2019-10-01T00:00:00.000Z,38094,Bus (Silver Line)
2019-10-01T00:00:00.000Z,6002,The RIDE
2019-10-01T00:00:00.000Z,244349,Rail (Red)
2019-10-01T00:00:00.000Z,156605,Rail (Green)
2019-10-01T00:00:00.000Z,69071,Rail (Blue)
2019-10-01T00:00:00.000Z,207620,Rail (Orange)
2019-10-01T00:00:00.000Z,3809,Ferry (Boat-F1)
